127.0.0.1 - - [12/Jun/2022:13:19:49 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:52 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:52 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:23:46 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:23:53 -0300] "GET /19_WebCursos/modificar.jsp?atualizar=2 HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:24:41 -0300] "GET /19_WebCursos/modificar.jsp?atualizar=2 HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:25:56 -0300] "GET /19_WebCursos/modificar.jsp?atualizar=2 HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:26:13 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:35:59 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:36:04 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:38:20 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:40:15 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:40:21 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:43:35 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:43:36 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:44:14 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:44:19 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:44:19 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:44:21 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:44:22 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:44:30 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:48:18 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:48:27 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:48:37 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:49:26 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:51:38 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:51:43 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:52:39 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:53:19 -0300] "GET /19_WebCursos/modificar.jsp HTTP/1.1" 200 4388
